segment_code,customer_segment_primary,segment_alias,n_customers,avg_recency_days,avg_frequency,avg_monetary,avg_order_value,avg_value_score,avg_friction_score,avg_inactivity_risk_score,share_pct
S1,CORE_LOYAL,Cliente fiel,196,135.98469387755102,2.1581632653061225,268.8357653061224,126.12972704081633,0.03881732827679797,0.11817602040816326,0.444103493431033,0.0020994451466398167
S3,OCCASIONAL,Comprador esporádico,50991,210.8268125747681,1.0281226098723304,140.19109744856937,136.75218657836598,0.007965563054888531,0.1534857112548764,0.5405836502841865,0.5461877932260759
S4,CHURN_RISK,En riesgo de abandono,14472,449.9727059148701,1.0,58.620816058595906,58.620816058595906,0.0028160835982917413,0.09907407407407406,0.7593019058129952,0.15501617429679299
S5,HIGH_VALUE_RISK,Alto valor en enfriamiento,9017,451.6414550293889,1.0545636020849507,273.7036630808473,267.50508465491106,0.015828820623700952,0.1191455953569184,0.7594591157951452,0.09658518820026137
S6,VIP,Cliente premium,837,62.24970131421745,2.15531660692951,275.98297491039426,126.89652474825056,0.03901221650564971,0.09404368613598003,0.3769548209477179,0.008965487692538401
S7,NEW_CUSTOMER,Cliente nuevo,17845,44.84651162790698,1.0,138.58099859904735,138.58099859904735,0.007225067134213739,0.09643877836929111,0.389972275677615,0.19114591143769147
