customer_segment_enriched,n_customers,avg_recency_days,avg_frequency,avg_monetary,avg_order_value,avg_value_score,avg_engagement_score,avg_friction_score,avg_inactivity_risk_score,share_pct
Friction-sensitive,37268,92.80489964580873,1.0122088655146506,141.4837045186219,140.0509627875568,0.00766942175791032,0.44443353182380185,0.12494058305652704,0.43338788463110384,0.3991944985967994
Occasional,31799,255.63583760495612,1.0333343815843266,138.03946853674643,133.9213875536168,0.007966698921462897,0.2316482565298126,0.15484761323459081,0.5813030983050222,0.34061355213265065
At risk,14373,450.69574897377026,1.0,58.576614485493636,58.576614485493636,0.00281409679985049,0.07638172503293014,0.09881722674459055,0.7599610614767891,0.15395574026864328
At risk high-value,9080,451.10825991189427,1.070044052863436,273.7833832599119,265.5593384728341,0.01613817578909788,0.08209839924997364,0.11872834067547723,0.7585860220202532,0.09726000985453845
Loyal high-value,837,62.24970131421745,2.15531660692951,275.98297491039426,126.89652474825056,0.03901221650564971,0.5108096608609618,0.09404368613598003,0.3769548209477179,0.008965487692538401
Loyal,1,135.0,3.0,293.8,97.93333333333334,0.05566393584689902,0.6095338983050848,0.0,0.4221598877980365,1.0711454829794983e-05
